"Goldschmidt, M. A.",M. Goldschmidts Poetiske Skrifter,", København, 1896-98",001823971:12,texts/goldschmidt12tom.xml,https://tekster.kb.dk/text/adl-texts-goldschmidt12tom-root,,,,
"Hertz, Henrik",Udvalgte dramatiske Værker,", København, 1897",002148279:04,texts/hertz04val.xml,https://tekster.kb.dk/text/adl-texts-hertz04val-root,,,,
"Gyllembourg-Ehrensvärd, T. C.",samlede skrifter af Forf,", København, 1866-67",002729949:07,texts/gyllem07tom.xml,https://tekster.kb.dk/text/adl-texts-gyllem07tom-root,,,,
"Schandorph, Sophus", Vilhelm Vangs Studenteraar - Frigjort. - 1905,", København, 1904-05",001832663:08,texts/schandorph08.xml,https://tekster.kb.dk/text/adl-texts-schandorph08-root,,,,
"Rode, Helge",Det store Forlis,", København, 1917",001923196:06,texts/rode_06.xml,https://tekster.kb.dk/text/adl-texts-rode_06-root,,,,
"Skjoldborg, Johan",En Stridsmand,", København, 1896",001874833:01,texts/skjold_01.xml,https://tekster.kb.dk/text/adl-texts-skjold_01-root,,,,
"Biehl, Charlotta Dorothea",Den listige Optrækkerske,", København, 1765",002324650:02,texts/biehl02tom.xml,https://tekster.kb.dk/text/adl-texts-biehl02tom-root,,,,
"Ewald, Johannes",Johannes Ewalds samlede skrifter,"Gyldendal, (Kbh.), (1969)",001601376:04,texts/ewald04val.xml,https://tekster.kb.dk/text/adl-texts-ewald04val-root,,,,
"Bergsøe, Vilhelm","Poetiske Skrifter, 1-7 - Bind V",", København, 1905-",002314460:05,texts/berg05tom.xml,https://tekster.kb.dk/text/adl-texts-berg05tom-root,,,,
"Hjortø, Knud",Kraft,", København, 1902",001915174:02,texts/hjort_02.xml,https://tekster.kb.dk/text/adl-texts-hjort_02-root,,,,
"Fibiger, Mathilde",En Skizze efter det virkelige Liv,", København, 1853",001913360:04,texts/fibiger04tom.xml,https://tekster.kb.dk/text/adl-texts-fibiger04tom-root,,,,
"Claussen, Sophus",Sophus Claussens lyrik, : ,"Det Danske Sprog- og Litteraturselskab ; Gyldendal, [København], 1982-",001383642:12,texts/claussen12val.xml,https://tekster.kb.dk/text/adl-texts-claussen12val-root,,,
"Schandorph, Sophus", Uden Midtpunkt - Smaafolk. - 1904,", København, 1904-05",001832663:03,texts/schandorph03ret1.xml,https://tekster.kb.dk/text/adl-texts-schandorph03ret1-root,,,,
", ",,", , ",000000000:04,texts/tycho-04-uraniatitani.xml,https://tekster.kb.dk/text/adl-texts-tycho-04-uraniatitani-root,,,,
"Bang, Herman",Ludvigsbakke,"Det Danske Sprog- og Litteraturselskab, [København], 1986",001391892:09,texts/bang09val.xml,https://tekster.kb.dk/text/adl-texts-bang09val-root,,,,
"Jacobsen, Jørgen-Frantz",Barbara,"Gyldendal, København, 1939",007995423:01,texts/jacobjf_01.xml,https://tekster.kb.dk/text/adl-texts-jacobjf_01-root,,,,
"Ewald, Johannes",Johannes Ewalds samlede skrifter,"Gyldendal, (Kbh.), (1969)",001601376:03,texts/ewald03val.xml,https://tekster.kb.dk/text/adl-texts-ewald03val-root,,,,
"Blicher, Steen Steensen",Digte og Noveller,", København, 1946",002325397:01,texts/blich01tom.xml,https://tekster.kb.dk/text/adl-texts-blich01tom-root,,,,
"Thomissøn, Hans",Den danske Psalmebog met mange christelige psalmer,"Laurenz Benedicht, København, (1969)",001630207:01,texts/thom01tom.xml,https://tekster.kb.dk/text/adl-texts-thom01tom-root,,,,
"Ingemann, B. S.",Procne,"Boas Brünnich, København, 1813",002158988:05,texts/ingemann05tom.xml,https://tekster.kb.dk/text/adl-texts-ingemann05tom-root,,,,
"Arrebo, Anders", Hexaëmeron. Lejlighedsdigte. Breve. Udg. af Vagn Lundgaard Simonsen. 1965,"Munksgaard, København, 1965-83.",001625930:01,texts/arrebo01val.xml,https://tekster.kb.dk/text/adl-texts-arrebo01val-root,,,,
"Blicher, Steen Steensen",Udvalgte værker,"Gyldendal, [København], 1982-83",001383696:04,texts/blich04.xml,https://tekster.kb.dk/text/adl-texts-blich04-root,,,,
  ,87-00-41862-5,,https://tekster.kb.dk/text/adl-texts--root,,,,,,
  ,87-00-43652-6,,https://tekster.kb.dk/text/adl-texts--root,,,,,,
  ,87-00-43653-4,,https://tekster.kb.dk/text/adl-texts--root,,,,,,
"Larsen, Karl","De, der tog hjemmefra; 4: En tro Tjener. Moder og Børn. Forsvunden - genfunden","Gyldendalske Boghandel. Nordisk Forlag, København, 1912-1914",002168583:15,texts/larsenk_15.xml,https://tekster.kb.dk/text/adl-texts-larsenk_15-root,,,,
"Bagger, Carl",Udvalgte Skrifter,", København, 1928",002299465:01,texts/bagger01val.xml,https://tekster.kb.dk/text/adl-texts-bagger01val-root,,,,
"Staffeldt, A. W. Schack von",Samlede digte,"Det Danske Sprog- og Litteraturselskab, København, 2001",002256026:03,texts/staf03tom.xml,https://tekster.kb.dk/text/adl-texts-staf03tom-root,,,,
"Stuckenberg, Viggo",Samlede Værker,", København, 1910-11",001849994:01,texts/stuckenberg01.xml,https://tekster.kb.dk/text/adl-texts-stuckenberg01-root,,,,
